time amount src dst successes fails acceptRatio averageImbalance averagePathLength averageFee feesPaid minFunds maxFunds
1.41031 1289116124 107 56 1 0 1 0.104842 4 1.19539e+08 1.19539e+08 1000025062 2073267055
7.54721 1175223077 163 74 2 0 1 0.104421 3.5 9.5556e+07 1.91112e+08 1000025062 2073267055
10.0185 870260159 104 155 3 0 1 0.104723 3.33333 8.1371e+07 2.44113e+08 571519583 2073267055
21.3774 937838256 44 11 4 0 1 0.105137 3.25 7.53073e+07 3.01229e+08 10722116 2073267055
48.664 900790778 10 95 5 0 1 0.105228 3.2 7.12179e+07 3.5609e+08 10722116 2073267055
55.9915 833952554 91 103 6 0 1 0.105604 3.16667 6.78132e+07 4.06879e+08 10722116 2073267055
56.3433 1050820742 139 115 7 0 1 0.105811 3.14286 6.7268e+07 4.70876e+08 10722116 2073267055
63.8872 946741447 136 66 8 0 1 0.105626 3.125 6.60669e+07 5.28535e+08 10722116 2073267055
63.9645 997841472 115 147 9 0 1 0.105796 3.11111 6.54784e+07 5.89305e+08 10722116 2073267055
64.6563 901829343 135 107 10 0 1 0.105205 3.2 6.72932e+07 6.72932e+08 10722116 2073267055
76.2645 963009805 70 122 11 0 1 0.105996 3.27273 6.92939e+07 7.62233e+08 10722116 2073267055
102.92 955205456 121 25 12 0 1 0.106381 3.25 6.83672e+07 8.20407e+08 10722116 2073267055
110.405 900983366 162 179 13 0 1 0.106882 3.30769 6.9535e+07 9.03955e+08 10722116 2073267055
121.016 684637821 48 152 14 0 1 0.107324 3.21429 6.60354e+07 9.24495e+08 10722116 2073267055
133.095 1396361496 23 41 15 0 1 0.107235 3.33333 7.3317e+07 1.09976e+09 10722116 2073267055
147.458 884689304 22 109 16 0 1 0.106878 3.3125 7.21022e+07 1.15363e+09 10722116 2073267055
147.945 947187828 16 137 17 0 1 0.107077 3.29412 7.12541e+07 1.21132e+09 10722116 2073267055
151.923 748684513 75 167 18 0 1 0.107065 3.33333 7.11526e+07 1.28075e+09 10722116 2073267055
166.046 849052971 71 153 19 0 1 0.107699 3.31579 7.01293e+07 1.33246e+09 10722116 2073267055
170.592 1162784190 99 149 20 0 1 0.108557 3.4 7.392e+07 1.4784e+09 10722116 2073267055
211.077 976147295 46 44 21 0 1 0.108493 3.42857 7.47104e+07 1.56892e+09 10722116 2073267055
225.075 1009346241 112 130 22 0 1 0.109006 3.36364 7.26909e+07 1.5992e+09 10722116 2073267055
225.829 738923080 130 33 23 0 1 0.109377 3.30435 7.04943e+07 1.62137e+09 10722116 2073267055
247.432 873990778 148 31 24 0 1 0.10966 3.25 6.86495e+07 1.64759e+09 10722116 2073267055
253.166 1080783356 96 124 25 0 1 0.110218 3.2 6.72005e+07 1.68001e+09 10722116 2073267055
259.662 1029135414 182 3 26 0 1 0.110429 3.19231 6.70265e+07 1.74269e+09 10722116 2073267055
262.877 979805936 88 103 27 0 1 0.110775 3.18519 6.67542e+07 1.80236e+09 10722116 2073267055
264.698 1010039062 154 13 28 0 1 0.111212 3.17857 6.6567e+07 1.86388e+09 10722116 2073267055
287.492 855788642 74 187 29 0 1 0.111543 3.17241 6.60688e+07 1.916e+09 10722116 2073267055
288.117 1106757946 192 50 30 0 1 0.111551 3.2 6.72875e+07 2.01862e+09 10722116 2073267055
295.139 945856881 84 65 31 0 1 0.111738 3.19355 6.69751e+07 2.07623e+09 10722116 2073267055
298.982 837364026 142 115 32 0 1 0.112154 3.25 6.81666e+07 2.18133e+09 10722116 2073267055
305.794 1159781287 77 187 33 0 1 0.111903 3.27273 6.93599e+07 2.28888e+09 10722116 2073267055
306.745 1206529922 121 72 34 0 1 0.112263 3.26471 6.94811e+07 2.36236e+09 10722116 2073267055
307.511 684476426 16 84 35 0 1 0.112373 3.22857 6.80826e+07 2.38289e+09 10722116 2073267055
312.358 945385477 94 57 36 0 1 0.112941 3.22222 6.77908e+07 2.44047e+09 10722116 2073267055
336.871 1028885321 133 172 37 0 1 0.112876 3.24324 6.85372e+07 2.53588e+09 10722116 2073267055
343.116 701437744 48 142 38 0 1 0.113358 3.26316 6.84453e+07 2.60092e+09 10722116 2073267055
343.629 846555599 46 159 39 0 1 0.112826 3.23077 6.73415e+07 2.62632e+09 10722116 2073267055
358.335 553140612 98 0 40 0 1 0.113389 3.25 6.69403e+07 2.67761e+09 10722116 2073267055
359.675 791821108 192 26 41 0 1 0.113528 3.26829 6.70985e+07 2.75104e+09 10722116 2073267055
371.337 1109474607 159 189 42 0 1 0.113224 3.2619 6.71097e+07 2.81861e+09 10722116 2073267055
381.267 673138815 58 101 43 0 1 0.11288 3.23256 6.60187e+07 2.8388e+09 10722116 2073267055
394.192 1227185683 165 166 44 0 1 0.113015 3.25 6.71045e+07 2.9526e+09 10722116 2073267055
416.135 1224320001 9 8 44 1 0.977778 0.113015 3.25 6.71045e+07 2.9526e+09 10722116 2073267055
419.793 709620900 30 153 45 1 0.978261 0.113593 3.26667 6.70756e+07 3.0184e+09 10722116 2073267055
426.993 696281263 40 17 46 1 0.978723 0.114071 3.26087 6.65393e+07 3.06081e+09 10722116 2073267055
445.7 1020977009 139 141 47 1 0.979167 0.114392 3.23404 6.57753e+07 3.09144e+09 10722116 2073267055
464.121 856131516 40 46 48 1 0.979592 0.114081 3.22917 6.54913e+07 3.14358e+09 10722116 2073267055
469.489 718231594 87 93 49 1 0.98 0.114499 3.18367 6.41547e+07 3.14358e+09 10722116 2073267055
475.799 1016572392 164 65 50 1 0.980392 0.115059 3.2 6.47569e+07 3.23785e+09 10722116 2073267055
477.763 915252560 46 107 51 1 0.980769 0.115126 3.21569 6.51513e+07 3.32272e+09 10722116 2073267055
486.241 1085459567 170 173 52 1 0.981132 0.114959 3.23077 6.58341e+07 3.42337e+09 10722116 2073267055
486.577 982352220 62 29 53 1 0.981481 0.115049 3.24528 6.63107e+07 3.51447e+09 10722116 2073267055
493.478 1118395157 138 163 54 1 0.981818 0.115146 3.24074 6.63441e+07 3.58258e+09 10722116 2073267055
507.273 1038245704 108 114 55 1 0.982143 0.115405 3.23636 6.62875e+07 3.64581e+09 10722116 2073267055
529.413 858205651 103 4 56 1 0.982456 0.115028 3.25 6.65249e+07 3.72539e+09 10722116 2073267055
547.867 945038802 112 171 57 1 0.982759 0.115664 3.26316 6.68952e+07 3.81303e+09 10722116 2073267055
550.259 1239847427 4 38 58 1 0.983051 0.116152 3.25862 6.70437e+07 3.88853e+09 10722116 2073267055
551.657 1210920276 134 69 59 1 0.983333 0.116551 3.27119 6.78106e+07 4.00082e+09 10722116 2073267055
554.867 924326281 76 117 60 1 0.983607 0.116598 3.26667 6.76186e+07 4.05712e+09 10722116 2073267055
560.217 902319365 33 5 61 1 0.983871 0.116848 3.22951 6.65101e+07 4.05712e+09 10722116 2073267055
572.589 975806713 117 185 62 1 0.984127 0.117107 3.22581 6.63959e+07 4.11654e+09 10722116 2073267055
