time amount src dst successes fails acceptRatio averageImbalance averagePathLength averageFee feesPaid minFunds maxFunds
1.41031 1933674187 107 56 1 0 1 0.104842 7 2.81702e+08 2.81702e+08 1000025062 2073267055
7.54721 1762834616 163 74 2 0 1 0.10474 8 2.77887e+08 5.55774e+08 1000025062 2073267055
10.0185 1305390239 104 155 3 0 1 0.10474 6.66667 2.11087e+08 6.33261e+08 1000025062 2073267055
21.3774 1406757384 44 11 4 0 1 0.105554 8.5 2.55171e+08 1.02068e+09 57945774 2073267055
48.664 1351186167 10 95 5 0 1 0.106259 7.6 2.15849e+08 1.07924e+09 57945774 2073267055
55.9915 1250928831 91 103 6 0 1 0.106133 7.5 2.07429e+08 1.24457e+09 57945774 2073267055
56.3433 1576231114 139 115 7 0 1 0.106006 6.85714 1.83544e+08 1.28481e+09 57945774 2073267055
63.8872 1420112170 136 66 8 0 1 0.106526 7.125 1.82409e+08 1.45927e+09 57945774 2073267055
63.9645 1496762208 115 147 9 0 1 0.106526 7.22222 1.86291e+08 1.67661e+09 57945774 2073267055
64.6563 1352744014 135 107 10 0 1 0.107211 7.5 1.85339e+08 1.85339e+09 57945774 2073267055
76.2645 1444514708 70 122 11 0 1 0.107631 7.63636 1.87363e+08 2.06099e+09 57945774 2073267055
102.92 1432808184 121 25 11 1 0.916667 0.107007 7.57851 1.83193e+08 2.20249e+09 57945774 2073267055
110.405 1351475049 162 179 12 1 0.923077 0.106174 7.5303 1.77944e+08 2.32269e+09 57945774 2073267055
121.016 1026956732 48 152 13 1 0.928571 0.105662 7.1049 1.65513e+08 2.33903e+09 57945774 2073267055
133.095 2094542244 23 41 14 1 0.933333 0.104994 7.16883 1.74487e+08 2.63018e+09 57945774 2073267055
147.458 1327033956 22 109 15 1 0.9375 0.10452 7.29091 1.73441e+08 2.78898e+09 57945774 2073267055
147.945 1420781742 16 137 16 1 0.941176 0.10452 7.21023 1.70968e+08 2.92285e+09 57945774 2073267055
151.923 1123026770 75 167 17 1 0.944444 0.104658 7.25668 1.68625e+08 3.05399e+09 57945774 2073267055
166.046 1273579456 71 153 18 1 0.947368 0.105239 7.18687 1.64742e+08 3.15272e+09 57945774 2073267055
170.592 1744176286 99 149 18 2 0.9 0.105135 7.62093 1.85846e+08 3.69733e+09 57945774 2073267055
211.077 1464220943 46 44 18 3 0.857143 0.105652 7.64199 1.85267e+08 3.87276e+09 57945774 2073267055
225.075 1514019362 112 130 19 3 0.863636 0.105629 7.34504 1.77321e+08 3.90705e+09 57945774 2073267055
