time amount src dst successes fails acceptRatio averageImbalance averagePathLength averageFee feesPaid minFunds maxFunds
1.41031 1933674187 107 56 1 0 1 0.104842 19 2.45504e+08 2.45504e+08 1000025062 2073267055
7.54721 1762834616 163 74 2 0 1 0.104842 18.5 2.2808e+08 4.56159e+08 1000025062 2073267055
10.0185 1305390239 104 155 3 0 1 0.104842 17 1.69155e+08 5.07465e+08 1000025062 2073267055
21.3774 1406757384 44 11 4 0 1 0.104842 20.25 1.65219e+08 6.60875e+08 1000025062 2073267055
48.664 1351186167 10 95 5 0 1 0.104842 17 1.43887e+08 7.19434e+08 1000025062 2073267055
55.9915 1250928831 91 103 6 0 1 0.104842 17.5 1.36117e+08 8.16701e+08 1000025062 2073267055
56.3433 1576231114 139 115 7 0 1 0.104842 15.4286 1.2242e+08 8.56938e+08 1000025062 2073267055
63.8872 1420112170 136 66 8 0 1 0.104842 14 1.17075e+08 9.36596e+08 1000025062 2073267055
63.9645 1496762208 115 147 9 0 1 0.104842 13.3333 1.28215e+08 1.15394e+09 1000025062 2073267055
64.6563 1352744014 135 107 10 0 1 0.104842 13.4 1.25382e+08 1.25382e+09 1000025062 2073267055
76.2645 1444514708 70 122 11 0 1 0.105006 13 1.32856e+08 1.46142e+09 143719348 2073267055
102.92 1432808184 121 25 12 0 1 0.105238 14.1667 1.33325e+08 1.59991e+09 143719348 2073267055
110.405 1351475049 162 179 13 0 1 0.105773 14.4615 1.28377e+08 1.66891e+09 143719348 2073267055
121.016 1026956732 48 152 14 0 1 0.106043 14.7857 1.2321e+08 1.72494e+09 143719348 2073267055
133.095 2094542244 23 41 15 0 1 0.106043 14.2667 1.29837e+08 1.94755e+09 143719348 2073267055
147.458 1327033956 22 109 16 0 1 0.10652 14.125 1.26051e+08 2.01682e+09 143719348 2073267055
147.945 1420781742 16 137 17 0 1 0.10652 14.0588 1.25162e+08 2.12775e+09 143719348 2073267055
151.923 1123026770 75 167 18 0 1 0.106235 13.6111 1.22347e+08 2.20225e+09 143719348 2073267055
166.046 1273579456 71 153 19 0 1 0.106163 13.8947 1.19646e+08 2.27328e+09 143719348 2073267055
170.592 1744176286 99 149 20 0 1 0.106163 14.5 1.29107e+08 2.58214e+09 143719348 2073267055
211.077 1464220943 46 44 21 0 1 0.10594 14.4286 1.27511e+08 2.67774e+09 143719348 2073267055
225.075 1514019362 112 130 22 0 1 0.105118 13.8636 1.23274e+08 2.71202e+09 143719348 2073267055
225.829 1108384620 130 33 23 0 1 0.105118 14.1739 1.20995e+08 2.78289e+09 143719348 2073267055
247.432 1310986168 148 31 24 0 1 0.10415 13.6667 1.165e+08 2.796e+09 143719348 2073267055
253.166 1621175034 96 124 25 0 1 0.10415 14.12 1.17836e+08 2.94591e+09 143719348 2073267055
259.662 1543703121 182 3 26 0 1 0.103814 13.6923 1.16059e+08 3.01752e+09 143719348 2073267055
262.877 1469708905 88 103 27 0 1 0.103814 13.3333 1.15419e+08 3.11632e+09 143719348 2073267055
264.698 1515058593 154 13 28 0 1 0.103814 13.6786 1.15856e+08 3.24398e+09 143719348 2073267055
287.492 1283682963 74 187 29 0 1 0.103842 13.7586 1.14121e+08 3.3095e+09 143719348 2073267055
288.117 1660136919 192 50 29 1 0.966667 0.103842 13.7586 1.14121e+08 3.3095e+09 143719348 2073267055
295.139 1418785321 84 65 30 1 0.967742 0.103842 13.9667 1.13432e+08 3.40297e+09 143719348 2073267055
298.982 1256046039 142 115 31 1 0.96875 0.103842 14.5484 1.17516e+08 3.64298e+09 143719348 2073267055
305.794 1739671930 77 187 32 1 0.969697 0.103722 14.5938 1.16687e+08 3.73397e+09 143719348 2073267055
306.745 1809794883 121 72 33 1 0.970588 0.103722 14.2424 1.15235e+08 3.80275e+09 143719348 2073267055
307.511 1026714639 16 84 34 1 0.971429 0.103722 14.2941 1.13557e+08 3.86094e+09 143719348 2073267055
312.358 1418078216 94 57 35 1 0.972222 0.103722 14.7714 1.15184e+08 4.03144e+09 143719348 2073267055
336.871 1543327982 133 172 36 1 0.972973 0.102329 15.5278 1.19177e+08 4.29036e+09 143719348 2073267055
343.116 1052156616 48 142 37 1 0.973684 0.102329 15.2432 1.17893e+08 4.36205e+09 143719348 2073267055
343.629 1269833398 46 159 38 1 0.974359 0.102329 15.4737 1.1724e+08 4.45511e+09 143719348 2073267055
358.335 829710919 98 0 39 1 0.975 0.101839 15.359 1.15208e+08 4.49312e+09 143719348 2073267055
359.675 1187731663 192 26 40 1 0.97561 0.101839 15.525 1.14262e+08 4.5705e+09 143719348 2073267055
371.337 1664211911 159 189 41 1 0.97619 0.102182 15.2683 1.14354e+08 4.6885e+09 143719348 2073267055
381.267 1009708222 58 101 42 1 0.976744 0.101789 15.2381 1.12565e+08 4.72772e+09 143719348 2073267055
394.192 1840778524 165 166 43 1 0.977273 0.101796 15.0465 1.16304e+08 5.00106e+09 143719348 2073267055
416.135 1836480002 9 8 43 2 0.955556 0.101796 15.0465 1.16304e+08 5.00106e+09 143719348 2073267055
419.793 1064431351 30 153 44 2 0.956522 0.102292 15.0909 1.14814e+08 5.05183e+09 143719348 2073267055
426.993 1044421894 40 17 45 2 0.957447 0.102822 15.3778 1.15126e+08 5.18067e+09 143719348 2073267055
445.7 1531465514 139 141 46 2 0.958333 0.102165 15.087 1.13367e+08 5.2149e+09 143719348 2073267055
464.121 1284197274 40 46 47 2 0.959184 0.10142 15.1277 1.12319e+08 5.27897e+09 143719348 2073267055
469.489 1077347391 87 93 48 2 0.96 0.100565 15.1875 1.11458e+08 5.34998e+09 143719348 2073267055
475.799 1524858588 164 65 49 2 0.960784 0.100565 15.3469 1.12156e+08 5.49562e+09 143719348 2073267055
477.763 1372878840 46 107 50 2 0.961538 0.100565 15.12 1.1125e+08 5.5625e+09 143719348 2073267055
486.241 1628189350 170 173 51 2 0.962264 0.100693 14.902 1.11333e+08 5.67798e+09 143719348 2073267055
486.577 1473528330 62 29 52 2 0.962963 0.100693 14.9423 1.11013e+08 5.77266e+09 143719348 2073267055
493.478 1677592735 138 163 53 2 0.963636 0.100693 14.8113 1.12711e+08 5.9737e+09 143719348 2073267055
507.273 1557368556 108 114 54 2 0.964286 0.100569 14.6111 1.12432e+08 6.07131e+09 143719348 2073267055
529.413 1287308476 103 4 55 2 0.964912 0.0991977 14.7091 1.13204e+08 6.2262e+09 143719348 2073267055
547.867 1417558204 112 171 56 2 0.965517 0.0993751 14.8214 1.12995e+08 6.32773e+09 143719348 2073267055
550.259 1859771141 4 38 57 2 0.966102 0.0993751 14.7895 1.14266e+08 6.51317e+09 143719348 2073267055
551.657 1816380414 134 69 58 2 0.966667 0.0993751 15.1207 1.17115e+08 6.79267e+09 143719348 2073267055
554.867 1386489421 76 117 59 2 0.967213 0.0993751 15.322 1.17162e+08 6.91254e+09 143719348 2073267055
560.217 1353479047 33 5 60 2 0.967742 0.0993134 15.0833 1.15209e+08 6.91254e+09 143719348 2073267055
572.589 1463710070 117 185 61 2 0.968254 0.0999415 15.0328 1.14731e+08 6.99859e+09 143719348 2073267055
575.332 1522524222 185 86 62 2 0.96875 0.0999415 14.9677 1.14675e+08 7.10985e+09 143719348 2073267055
579.153 1606580927 144 103 63 2 0.969231 0.0999415 14.9365 1.15269e+08 7.26197e+09 143719348 2073267055
589.71 1847367067 98 32 64 2 0.969697 0.100839 15.0156 1.18176e+08 7.56324e+09 117447437 2073267055
601.146 1815416713 139 133 65 2 0.970149 0.101973 15.1231 1.18668e+08 7.7134e+09 117447437 2073267055
606.052 2246309067 19 109 66 2 0.970588 0.101973 14.9394 1.18197e+08 7.80099e+09 117447437 2073267055
607.648 1736102730 117 88 67 2 0.971014 0.101973 15.2239 1.19896e+08 8.03304e+09 117447437 2073267055
626.329 2054004666 30 100 68 2 0.971429 0.101578 15.0735 1.21072e+08 8.23293e+09 117447437 2073267055
657.431 1507159407 64 7 68 3 0.957746 0.10148 15.2048 1.22616e+08 8.45899e+09 117447437 2073267055
659.035 1348026509 49 21 69 3 0.958333 0.10148 15.1728 1.21806e+08 8.52567e+09 117447437 2073267055
664.29 2144671164 187 154 69 4 0.945205 0.102272 15.2428 1.22469e+08 8.69327e+09 117447437 2073267055
672.612 1800717909 102 97 70 4 0.945946 0.102272 15.2679 1.23242e+08 8.86984e+09 117447437 2073267055
679.316 1461476482 95 142 69 6 0.92 0.102374 15.293 1.23892e+08 9.03788e+09 117447437 2073267055
711.783 2077086594 106 55 68 8 0.894737 0.104016 15.4652 1.25064e+08 9.24152e+09 37273841 2073267055
714.011 1574252181 187 47 69 8 0.896104 0.104016 15.6323 1.25777e+08 9.41578e+09 37273841 2073267055
723.934 964479945 82 119 68 10 0.871795 0.104515 15.6819 1.25339e+08 9.51174e+09 37273841 2073267055
734.468 1595085154 50 130 69 10 0.873418 0.104515 15.556 1.25517e+08 9.6494e+09 37273841 2073267055
750.717 1435804788 0 187 67 13 0.8375 0.105436 15.503 1.24391e+08 9.69947e+09 37273841 2073267055
757.188 1611950856 87 21 68 13 0.839506 0.105436 15.525 1.25047e+08 9.86847e+09 37273841 2073267055
759.46 1291520667 153 19 69 13 0.841463 0.105436 15.3435 1.24027e+08 9.92309e+09 37273841 2073267055
782.655 1866137719 67 66 69 13 0.841463 0.105436 15.3435 1.24027e+08 9.92309e+09 37273841 2073267055
784.186 1279108153 11 114 70 13 0.843373 0.107954 15.4528 1.24961e+08 1.01125e+10 37273841 2073267055
789.468 1921656217 32 31 71 13 0.845238 0.107954 15.6577 1.26903e+08 1.03753e+10 37273841 2073267055
811.153 1488716755 11 29 70 15 0.823529 0.10724 15.4912 1.26676e+08 1.04864e+10 37273841 2073267055
812.923 1138414135 82 130 71 15 0.825581 0.10724 15.3012 1.25232e+08 1.05106e+10 37273841 2073267055
817.469 930969289 61 12 72 15 0.827586 0.10724 15.3803 1.25229e+08 1.06355e+10 37273841 2073267055
818.921 964864824 173 117 73 15 0.829545 0.10724 15.4162 1.24189e+08 1.06849e+10 37273841 2073267055
824.996 1553356115 77 162 74 15 0.831461 0.10724 15.2214 1.22511e+08 1.06849e+10 37273841 2073267055
831.016 1535855799 149 176 75 15 0.833333 0.107204 15.0584 1.21798e+08 1.07539e+10 37273841 2073267055
857.851 1697488716 67 37 75 15 0.833333 0.107204 15.0584 1.21798e+08 1.07539e+10 37273841 2073267055
860.275 1392022014 142 175 76 15 0.835165 0.108241 15.1366 1.23052e+08 1.0971e+10 37273841 2073267055
884.235 1555342468 71 17 77 15 0.836957 0.107805 15.1868 1.23262e+08 1.11102e+10 37273841 2073267055
903.958 2027800989 112 162 75 18 0.806452 0.108031 15.1576 1.24287e+08 1.13104e+10 37273841 2073267055
911.009 1248616126 175 153 76 18 0.808511 0.108031 15.1819 1.2428e+08 1.14342e+10 37273841 2073267055
928.023 1490160280 22 75 76 19 0.8 0.108499 15.0742 1.23228e+08 1.14784e+10 37273841 2073267055
934.226 1788387809 76 137 77 19 0.802083 0.108344 15.2031 1.25691e+08 1.17913e+10 37273841 2073267055
944.243 1487124201 141 47 78 19 0.804124 0.108344 15.2775 1.25411e+08 1.18952e+10 37273841 2073267055
961.656 1256308230 78 195 79 19 0.806122 0.10958 15.1347 1.25128e+08 1.19982e+10 37273841 2073267055
973.769 1178019500 171 158 80 19 0.808081 0.10958 15.0455 1.24712e+08 1.20901e+10 37273841 2073267055
1004.65 1924001089 85 14 78 22 0.78 0.109444 14.8654 1.23114e+08 1.20901e+10 37273841 2073267055
1008.07 1476380935 148 186 79 22 0.782178 0.11077 15.019 1.23579e+08 1.225e+10 37273841 2073267055
1015.29 388407466 60 29 80 22 0.784314 0.11077 15.0438 1.22367e+08 1.22766e+10 37273841 2073267055
1020.64 1450044715 47 192 81 22 0.786408 0.110432 14.9198 1.22091e+08 1.23767e+10 37273841 2073267055
1041.56 1271677739 166 39 82 22 0.788462 0.110062 15.0427 1.22203e+08 1.25079e+10 37273841 2073267055
1054.64 1599300485 88 117 83 22 0.790476 0.111312 15.1748 1.22358e+08 1.2643e+10 37273841 2073267055
1067.22 1101517723 86 73 83 23 0.783019 0.111908 15.0763 1.2225e+08 1.27564e+10 37273841 2073267055
1079.48 1176597312 134 199 84 23 0.785047 0.111908 15.0992 1.2221e+08 1.28752e+10 37273841 2073267055
1079.67 1592203897 139 80 85 23 0.787037 0.111908 15.1451 1.22068e+08 1.29854e+10 37273841 2073267055
1087.11 1365307544 1 95 84 25 0.770642 0.111354 15.0243 1.21956e+08 1.3098e+10 37273841 2073267055
1087.79 1842248067 127 129 85 25 0.772727 0.111354 14.8946 1.2169e+08 1.31974e+10 37273841 2073267055
1094.5 1334498064 77 66 86 25 0.774775 0.111354 14.733 1.20275e+08 1.31974e+10 37273841 2073267055
1105.96 1847723247 138 28 87 25 0.776786 0.111138 14.6326 1.20546e+08 1.33413e+10 37273841 2073267055
1130.8 1128093307 28 120 88 25 0.778761 0.111898 14.4891 1.19305e+08 1.33526e+10 37273841 2073267055
1152.88 1834887278 1 184 89 25 0.780702 0.110967 14.3825 1.19932e+08 1.35277e+10 37273841 2073267055
1154.38 982039445 58 166 90 25 0.782609 0.110967 14.2782 1.19229e+08 1.35844e+10 37273841 2073267055
1199.81 1536302946 24 126 91 25 0.784483 0.112287 14.3301 1.18942e+08 1.36775e+10 37273841 2073267055
1205.72 1139571927 151 133 91 26 0.777778 0.111603 14.2166 1.18153e+08 1.37246e+10 37273841 2073267055
1212.94 1456058535 2 158 92 26 0.779661 0.111603 14.149 1.18533e+08 1.38777e+10 37273841 2073267055
1218.74 1201810621 102 143 92 27 0.773109 0.110842 14.3539 1.18976e+08 1.4037e+10 37273841 2073267055
1235.17 1148690223 168 46 92 28 0.766667 0.111032 14.2414 1.18061e+08 1.40718e+10 37273841 2073267055
1237.55 1302848774 40 113 93 28 0.768595 0.111032 14.3033 1.17928e+08 1.41775e+10 37273841 2073267055
1239.21 1441411744 166 84 94 28 0.770492 0.111032 14.3213 1.17658e+08 1.427e+10 37273841 2073267055
1248.8 1217767989 186 117 95 28 0.772358 0.111017 14.2443 1.16744e+08 1.43008e+10 37273841 2073267055
1248.8 1090033035 73 92 96 28 0.774194 0.111017 14.1376 1.16103e+08 1.43561e+10 37273841 2073267055
1261.8 1808898066 26 20 97 28 0.776 0.110552 14.1465 1.16562e+08 1.45167e+10 37273841 2073267055
1267.21 1581367490 133 166 98 28 0.777778 0.110552 14.3082 1.17561e+08 1.47312e+10 37273841 2073267055
1278.62 1531661070 55 143 98 29 0.771654 0.109818 14.2949 1.17671e+08 1.48596e+10 37273841 2073267055
1296.72 1081024530 118 167 97 31 0.757812 0.109829 14.4362 1.18443e+08 1.50521e+10 37273841 2073267055
1314.37 1867980293 69 106 96 33 0.744186 0.109386 14.317 1.17834e+08 1.51121e+10 37273841 2073267055
1315.22 1911360127 132 64 97 33 0.746154 0.109386 14.2416 1.18997e+08 1.53427e+10 37273841 2073267055
1325.15 988973306 190 23 98 33 0.748092 0.10931 14.1371 1.18164e+08 1.53801e+10 68048119 2073267055
