time amount src dst successes fails acceptRatio averageImbalance averagePathLength averageFee feesPaid minFunds maxFunds
1.41031 1933674187 107 56 1 0 1 0.104842 19 2.45504e+08 2.45504e+08 1000025062 2073267055
7.54721 1762834616 163 74 2 0 1 0.105148 18.5 2.2808e+08 4.56159e+08 143719348 2073267055
10.0185 1305390239 104 155 3 0 1 0.10485 17 1.69155e+08 5.07465e+08 143719348 2073267055
21.3774 1406757384 44 11 4 0 1 0.104744 20.25 1.65219e+08 6.60875e+08 143719348 2073267055
48.664 1351186167 10 95 5 0 1 0.100304 17 1.43887e+08 7.19434e+08 143719348 2073267055
55.9915 1250928831 91 103 6 0 1 0.0994853 17.5 1.36117e+08 8.16701e+08 143719348 2073267055
56.3433 1576231114 139 115 7 0 1 0.0994853 15.4286 1.2242e+08 8.56938e+08 143719348 2073267055
63.8872 1420112170 136 66 8 0 1 0.0986036 17.875 1.30923e+08 1.04738e+09 143719348 2073267055
63.9645 1496762208 115 147 9 0 1 0.0986036 18.2222 1.37818e+08 1.24036e+09 143719348 2073267055
64.6563 1352744014 135 107 10 0 1 0.0986036 17.2 1.38954e+08 1.38954e+09 143719348 2073267055
76.2645 1444514708 70 122 11 0 1 0.0947123 16.4545 1.45194e+08 1.59714e+09 143719348 2073267055
102.92 1432808184 121 25 12 0 1 0.0907098 16.6667 1.42692e+08 1.71231e+09 577482206 2073267055
110.405 1351475049 162 179 13 0 1 0.0901197 16.8462 1.37451e+08 1.78686e+09 577482206 2073267055
121.016 1026956732 48 152 14 0 1 0.0892737 16.8571 1.34001e+08 1.87601e+09 577482206 2073267055
133.095 2094542244 23 41 15 0 1 0.08819 17.1333 1.37948e+08 2.06921e+09 577482206 2073267055
147.458 1327033956 22 109 16 0 1 0.086315 17.1875 1.33897e+08 2.14235e+09 577482206 2073267055
147.945 1420781742 16 137 17 0 1 0.086315 16.7647 1.32506e+08 2.25261e+09 577482206 2073267055
151.923 1123026770 75 167 18 0 1 0.0858555 16.1667 1.3158e+08 2.36844e+09 577482206 2073267055
166.046 1273579456 71 153 19 0 1 0.0854683 15.6316 1.30942e+08 2.48789e+09 338168200 2073267055
170.592 1744176286 99 149 20 0 1 0.0851135 15.15 1.35407e+08 2.70813e+09 338168200 2073267055
211.077 1464220943 46 44 20 1 0.952381 0.0855511 14.5925 1.32845e+08 2.79231e+09 338168200 2073267055
225.075 1514019362 112 130 21 1 0.954545 0.0863989 14.1357 1.28055e+08 2.82456e+09 338168200 2073267055
225.829 1108384620 130 33 22 1 0.956522 0.0863989 13.9932 1.24153e+08 2.86678e+09 338168200 2073267055
247.432 1310986168 148 31 23 1 0.958333 0.0863335 13.4717 1.19325e+08 2.87989e+09 338168200 2073267055
253.166 1621175034 96 124 24 1 0.96 0.0865348 13.7854 1.21044e+08 3.04046e+09 338168200 2073267055
259.662 1543703121 182 3 25 1 0.961538 0.0860141 13.354 1.19067e+08 3.11208e+09 338168200 2073267055
262.877 1469708905 88 103 26 1 0.962963 0.0860219 13.5712 1.20208e+08 3.26082e+09 338168200 2073267055
264.698 1515058593 154 13 27 1 0.964286 0.0863235 13.2167 1.18173e+08 3.32609e+09 338168200 2073267055
287.492 1283682963 74 187 28 1 0.965517 0.0853826 13.4232 1.1691e+08 3.4089e+09 338168200 2073267055
288.117 1660136919 192 50 28 2 0.933333 0.0853826 13.4232 1.1691e+08 3.4089e+09 338168200 2073267055
295.139 1418785321 84 65 29 2 0.935484 0.0856715 13.1328 1.1662e+08 3.51739e+09 338168200 2073267055
298.982 1256046039 142 115 30 2 0.9375 0.0854515 13.295 1.18194e+08 3.68123e+09 338168200 2073267055
305.794 1739671930 77 187 31 2 0.939394 0.0853009 13.2855 1.16954e+08 3.76098e+09 577482206 2073267055
306.745 1809794883 121 72 32 2 0.941176 0.0852789 12.9641 1.1609e+08 3.85028e+09 577482206 2073267055
307.511 1026714639 16 84 33 2 0.942857 0.0853715 13.2682 1.15156e+08 3.93555e+09 577482206 2073267055
312.358 1418078216 94 57 34 2 0.944444 0.0858736 13.6721 1.17188e+08 4.11981e+09 577482206 2073267055
336.871 1543327982 133 172 35 2 0.945946 0.0846819 14.0814 1.20167e+08 4.34124e+09 577482206 2073267055
343.116 1052156616 48 142 36 2 0.947368 0.0843591 14.1347 1.19883e+08 4.45119e+09 577482206 2073267055
343.629 1269833398 46 159 37 2 0.948718 0.0843591 13.8338 1.1855e+08 4.52177e+09 577482206 2073267055
358.335 829710919 98 0 38 2 0.95 0.084497 13.6276 1.17072e+08 4.58414e+09 577482206 2073267055
359.675 1187731663 192 26 39 2 0.95122 0.0844655 13.3808 1.15939e+08 4.65704e+09 577482206 2073267055
371.337 1664211911 159 189 40 2 0.952381 0.0837474 13.1463 1.15466e+08 4.75405e+09 577482206 2073267055
381.267 1009708222 58 101 41 2 0.953488 0.0832148 12.8988 1.13559e+08 4.79134e+09 577482206 2073267055
394.192 1840778524 165 166 42 2 0.954545 0.0826837 12.6869 1.14742e+08 4.95458e+09 549950429 2073267055
416.135 1836480002 9 8 42 3 0.933333 0.0826837 12.6869 1.14742e+08 4.95458e+09 549950429 2073267055
419.793 1064431351 30 153 43 3 0.934783 0.0847901 13.3686 1.16705e+08 5.1537e+09 549950429 2073267055
426.993 1044421894 40 17 44 3 0.93617 0.0850191 13.8602 1.17945e+08 5.325e+09 549950429 2073267055
445.7 1531465514 139 141 45 3 0.9375 0.0848195 13.7078 1.1693e+08 5.39725e+09 549950429 2073267055
464.121 1284197274 40 46 46 3 0.938776 0.0840961 13.6489 1.16218e+08 5.48143e+09 549950429 2073267055
469.489 1077347391 87 93 47 3 0.94 0.0837003 13.55 1.14864e+08 5.53403e+09 549950429 2073267055
475.799 1524858588 164 65 48 3 0.941176 0.0833596 13.7469 1.15873e+08 5.69732e+09 211026944 2073267055
477.763 1372878840 46 107 49 3 0.942308 0.0833596 13.6092 1.16442e+08 5.84109e+09 211026944 2073267055
486.241 1628189350 170 173 50 3 0.943396 0.0830511 13.417 1.16423e+08 5.95656e+09 211026944 2073267055
486.577 1473528330 62 29 51 3 0.944444 0.0830511 13.6245 1.17793e+08 6.14286e+09 211026944 2073267055
493.478 1677592735 138 163 52 3 0.945455 0.0838271 13.4779 1.18802e+08 6.31313e+09 211026944 2073267055
507.273 1557368556 108 114 53 3 0.946429 0.0832601 13.2991 1.18312e+08 6.40596e+09 211026944 2073267055
529.413 1287308476 103 4 54 3 0.947368 0.0847658 13.4231 1.18744e+08 6.5476e+09 122226074 2073267055
547.867 1417558204 112 171 55 3 0.948276 0.0838244 13.3427 1.18434e+08 6.64925e+09 122226074 2073267055
550.259 1859771141 4 38 56 3 0.949153 0.0836294 13.1937 1.19702e+08 6.83869e+09 122226074 2073267055
551.657 1816380414 134 69 57 3 0.95 0.083513 13.1728 1.21244e+08 7.0463e+09 122226074 2073267055
554.867 1386489421 76 117 58 3 0.95082 0.0842869 13.0147 1.20691e+08 7.13547e+09 77612112 2073267055
560.217 1353479047 33 5 59 3 0.951613 0.0847724 12.811 1.18645e+08 7.13547e+09 77612112 2073267055
572.589 1463710070 117 185 60 3 0.952381 0.0856288 12.7975 1.17523e+08 7.18679e+09 122226074 2073267055
575.332 1522524222 185 86 61 3 0.953125 0.0858632 12.8992 1.20004e+08 7.45565e+09 122226074 2073267055
579.153 1606580927 144 103 62 3 0.953846 0.0861437 12.7718 1.21e+08 7.63742e+09 122226074 2073267055
