time amount src dst successes fails acceptRatio averageImbalance averagePathLength averageFee feesPaid minFunds maxFunds
1.41031 1933674187 107 56 1 0 1 0.104842 7 2.81702e+08 2.81702e+08 1000025062 2073267055
7.54721 1762834616 163 74 2 0 1 0.104842 8 2.77887e+08 5.55774e+08 1000025062 2073267055
10.0185 1305390239 104 155 3 0 1 0.104842 6.66667 2.11087e+08 6.33261e+08 1000025062 2073267055
21.3774 1406757384 44 11 4 0 1 0.104842 8.5 2.55171e+08 1.02068e+09 1000025062 2073267055
48.664 1351186167 10 95 5 0 1 0.105525 7.6 2.15849e+08 1.07924e+09 57945774 2073267055
55.9915 1250928831 91 103 6 0 1 0.105921 7.5 2.07429e+08 1.24457e+09 57945774 2073267055
56.3433 1576231114 139 115 7 0 1 0.105921 6.85714 1.83544e+08 1.28481e+09 57945774 2073267055
63.8872 1420112170 136 66 8 0 1 0.105921 6.5 1.70558e+08 1.36447e+09 57945774 2073267055
63.9645 1496762208 115 147 9 0 1 0.105921 6.66667 1.75757e+08 1.58181e+09 57945774 2073267055
64.6563 1352744014 135 107 10 0 1 0.105921 7 1.75858e+08 1.75858e+09 57945774 2073267055
76.2645 1444514708 70 122 11 0 1 0.105921 7.18182 1.78744e+08 1.96618e+09 57945774 2073267055
102.92 1432808184 121 25 12 0 1 0.106788 7.41667 1.85782e+08 2.22939e+09 57945774 2073267055
110.405 1351475049 162 179 13 0 1 0.107016 7.30769 1.79214e+08 2.32978e+09 57945774 2073267055
121.016 1026956732 48 152 14 0 1 0.106951 7.42857 1.73605e+08 2.43046e+09 57945774 2073267055
133.095 2094542244 23 41 15 0 1 0.10733 7.4 1.76872e+08 2.65307e+09 57945774 2073267055
147.458 1327033956 22 109 16 0 1 0.107237 7.3125 1.71964e+08 2.75143e+09 57945774 2073267055
147.945 1420781742 16 137 17 0 1 0.107237 7.17647 1.69396e+08 2.87973e+09 57945774 2073267055
151.923 1123026770 75 167 18 0 1 0.107124 7.27778 1.70182e+08 3.06328e+09 57945774 2073267055
166.046 1273579456 71 153 19 0 1 0.107437 7.21053 1.65539e+08 3.14524e+09 57945774 2073267055
170.592 1744176286 99 149 20 0 1 0.107437 7.45 1.77156e+08 3.54313e+09 57945774 2073267055
211.077 1464220943 46 44 21 0 1 0.107591 7.52381 1.78658e+08 3.75182e+09 57945774 2073267055
225.075 1514019362 112 130 22 0 1 0.108581 7.27273 1.72096e+08 3.78611e+09 57945774 2073267055
225.829 1108384620 130 33 23 0 1 0.108581 7.21739 1.68197e+08 3.86854e+09 57945774 2073267055
247.432 1310986168 148 31 24 0 1 0.107668 7 1.61735e+08 3.88165e+09 57945774 2073267055
253.166 1621175034 96 124 25 0 1 0.107756 7.16 1.67175e+08 4.17937e+09 57945774 2073267055
259.662 1543703121 182 3 26 0 1 0.107756 7.34615 1.72687e+08 4.48987e+09 57945774 2073267055
262.877 1469708905 88 103 27 0 1 0.107735 7.22222 1.6995e+08 4.58866e+09 57945774 2073267055
264.698 1515058593 154 13 28 0 1 0.107735 7.28571 1.71872e+08 4.81243e+09 57945774 2073267055
287.492 1283682963 74 187 29 0 1 0.107929 7.44828 1.72473e+08 5.00171e+09 57945774 2073267055
288.117 1660136919 192 50 29 1 0.966667 0.107929 7.44828 1.72473e+08 5.00171e+09 57945774 2073267055
295.139 1418785321 84 65 30 1 0.967742 0.108563 7.46667 1.72204e+08 5.16612e+09 57945774 2073267055
298.982 1256046039 142 115 31 1 0.96875 0.108563 7.6129 1.73318e+08 5.37285e+09 57945774 2073267055
305.794 1739671930 77 187 32 1 0.969697 0.108227 7.71875 1.77938e+08 5.694e+09 57945774 2073267055
306.745 1809794883 121 72 33 1 0.970588 0.108227 7.57576 1.7463e+08 5.76278e+09 57945774 2073267055
307.511 1026714639 16 84 34 1 0.971429 0.108227 7.41176 1.69844e+08 5.77469e+09 57945774 2073267055
312.358 1418078216 94 57 34 2 0.944444 0.108677 7.57612 1.73832e+08 6.08012e+09 57945774 2073267055
336.871 1543327982 133 172 35 2 0.945946 0.110756 7.58824 1.75381e+08 6.30818e+09 57945774 2073267055
343.116 1052156616 48 142 36 2 0.947368 0.111721 7.54412 1.73375e+08 6.41134e+09 18264168 2073267055
343.629 1269833398 46 159 37 2 0.948718 0.111721 7.58347 1.7296e+08 6.56935e+09 18264168 2073267055
358.335 829710919 98 0 38 2 0.95 0.112043 7.5418 1.69522e+08 6.61168e+09 18264168 2073267055
359.675 1187731663 192 26 39 2 0.95122 0.112043 7.50226 1.67022e+08 6.68369e+09 18264168 2073267055
371.337 1664211911 159 189 39 3 0.928571 0.113075 7.4381 1.65765e+08 6.8017e+09 18264168 2073267055
381.267 1009708222 58 101 40 3 0.930233 0.112754 7.47715 1.64893e+08 6.93259e+09 18264168 2073267055
394.192 1840778524 165 166 39 5 0.886364 0.112432 7.43927 1.6619e+08 7.14806e+09 18264168 2073267055
416.135 1836480002 9 8 39 6 0.866667 0.112432 7.43927 1.6619e+08 7.14806e+09 18264168 2073267055
419.793 1064431351 30 153 40 6 0.869565 0.111663 7.50329 1.64713e+08 7.25517e+09 18264168 2073267055
426.993 1044421894 40 17 41 6 0.87234 0.111143 7.49102 1.63728e+08 7.37952e+09 18264168 2073267055
445.7 1531465514 139 141 42 6 0.875 0.111808 7.36028 1.60645e+08 7.41374e+09 18264168 2073267055
464.121 1284197274 40 46 42 7 0.857143 0.11204 7.44694 1.60409e+08 7.56446e+09 18264168 2073267055
469.489 1077347391 87 93 43 7 0.86 0.11204 7.29701 1.56678e+08 7.56446e+09 18264168 2073267055
475.799 1524858588 164 65 44 7 0.862745 0.112957 7.44935 1.61285e+08 7.92384e+09 18264168 2073267055
477.763 1372878840 46 107 45 7 0.865385 0.112957 7.3727 1.58962e+08 7.98057e+09 18264168 2073267055
486.241 1628189350 170 173 46 7 0.867925 0.113237 7.38633 1.59441e+08 8.1616e+09 18264168 2073267055
486.577 1473528330 62 29 47 7 0.87037 0.113237 7.42067 1.59948e+08 8.34487e+09 18264168 2073267055
493.478 1677592735 138 163 44 11 0.8 0.113973 7.45656 1.62331e+08 8.60964e+09 18264168 2073267055
507.273 1557368556 108 114 45 11 0.803571 0.114691 7.37975 1.60786e+08 8.70248e+09 18264168 2073267055
