time amount src dst successes fails acceptRatio averageImbalance averagePathLength averageFee feesPaid minFunds maxFunds
1.41031 1933674187 107 56 1 0 1 0.104842 19 2.45504e+08 2.45504e+08 1000025062 2073267055
7.54721 1762834616 163 74 2 0 1 0.104842 18.5 2.2808e+08 4.56159e+08 1000025062 2073267055
10.0185 1305390239 104 155 3 0 1 0.104842 17 1.69155e+08 5.07465e+08 1000025062 2073267055
21.3774 1406757384 44 11 4 0 1 0.104842 20.25 1.65219e+08 6.60875e+08 1000025062 2073267055
48.664 1351186167 10 95 5 0 1 0.104842 17 1.43887e+08 7.19434e+08 1000025062 2073267055
55.9915 1250928831 91 103 6 0 1 0.104842 17.5 1.36117e+08 8.16701e+08 1000025062 2073267055
56.3433 1576231114 139 115 7 0 1 0.104842 15.4286 1.2242e+08 8.56938e+08 1000025062 2073267055
63.8872 1420112170 136 66 8 0 1 0.104842 14 1.17075e+08 9.36596e+08 1000025062 2073267055
63.9645 1496762208 115 147 9 0 1 0.104842 13.3333 1.28215e+08 1.15394e+09 1000025062 2073267055
64.6563 1352744014 135 107 10 0 1 0.104842 13.4 1.25382e+08 1.25382e+09 1000025062 2073267055
76.2645 1444514708 70 122 11 0 1 0.104842 13 1.32856e+08 1.46142e+09 1000025062 2073267055
102.92 1432808184 121 25 12 0 1 0.105114 14.1667 1.33325e+08 1.59991e+09 143719348 2073267055
110.405 1351475049 162 179 13 0 1 0.105114 14.4615 1.28377e+08 1.66891e+09 143719348 2073267055
121.016 1026956732 48 152 14 0 1 0.105914 14.7857 1.2321e+08 1.72494e+09 143719348 2073267055
133.095 2094542244 23 41 15 0 1 0.105914 14.2667 1.29837e+08 1.94755e+09 143719348 2073267055
147.458 1327033956 22 109 16 0 1 0.105773 14.125 1.26051e+08 2.01682e+09 143719348 2073267055
147.945 1420781742 16 137 17 0 1 0.105773 14.0588 1.25162e+08 2.12775e+09 143719348 2073267055
151.923 1123026770 75 167 18 0 1 0.105773 13.6111 1.22347e+08 2.20225e+09 143719348 2073267055
166.046 1273579456 71 153 19 0 1 0.106105 13.8947 1.19646e+08 2.27328e+09 143719348 2073267055
170.592 1744176286 99 149 20 0 1 0.106105 14.5 1.29107e+08 2.58214e+09 143719348 2073267055
211.077 1464220943 46 44 21 0 1 0.106829 14.381 1.26996e+08 2.66691e+09 143719348 2073267055
225.075 1514019362 112 130 22 0 1 0.107036 13.8182 1.22781e+08 2.70119e+09 143719348 2073267055
225.829 1108384620 130 33 23 0 1 0.107036 14.2174 1.20763e+08 2.77755e+09 143719348 2073267055
247.432 1310986168 148 31 24 0 1 0.106975 13.7083 1.16278e+08 2.79067e+09 143719348 2073267055
253.166 1621175034 96 124 25 0 1 0.106975 14.04 1.16838e+08 2.92095e+09 143719348 2073267055
259.662 1543703121 182 3 26 0 1 0.106975 14.8077 1.18971e+08 3.09324e+09 143719348 2073267055
262.877 1469708905 88 103 27 0 1 0.106226 14.4074 1.18224e+08 3.19204e+09 143719348 2073267055
264.698 1515058593 154 13 28 0 1 0.106226 14.6429 1.18165e+08 3.30862e+09 143719348 2073267055
287.492 1283682963 74 187 29 0 1 0.105105 14.6897 1.1635e+08 3.37414e+09 143719348 2073267055
288.117 1660136919 192 50 29 1 0.966667 0.105105 14.6897 1.1635e+08 3.37414e+09 143719348 2073267055
295.139 1418785321 84 65 30 1 0.967742 0.105105 15.0333 1.16428e+08 3.49283e+09 143719348 2073267055
298.982 1256046039 142 115 31 1 0.96875 0.105105 14.8065 1.16093e+08 3.59888e+09 143719348 2073267055
305.794 1739671930 77 187 32 1 0.969697 0.104692 15 1.16262e+08 3.7204e+09 143719348 2073267055
306.745 1809794883 121 72 33 1 0.970588 0.104692 14.6364 1.14824e+08 3.78918e+09 143719348 2073267055
307.511 1026714639 16 84 34 1 0.971429 0.104692 14.6765 1.13158e+08 3.84737e+09 143719348 2073267055
312.358 1418078216 94 57 35 1 0.972222 0.104692 15 1.13902e+08 3.98656e+09 143719348 2073267055
336.871 1543327982 133 172 36 1 0.972973 0.104308 15.6944 1.17334e+08 4.22403e+09 143719348 2073267055
343.116 1052156616 48 142 37 1 0.973684 0.104177 15.4054 1.15922e+08 4.28913e+09 143719348 2073267055
343.629 1269833398 46 159 38 1 0.974359 0.104177 15.7105 1.15679e+08 4.39582e+09 143719348 2073267055
358.335 829710919 98 0 39 1 0.975 0.104177 15.5897 1.13688e+08 4.43383e+09 143719348 2073267055
359.675 1187731663 192 26 40 1 0.97561 0.104177 15.75 1.1278e+08 4.51121e+09 143719348 2073267055
371.337 1664211911 159 189 41 1 0.97619 0.104752 15.4878 1.12908e+08 4.62922e+09 143719348 2073267055
381.267 1009708222 58 101 42 1 0.976744 0.104961 15.4524 1.11153e+08 4.66843e+09 143719348 2073267055
394.192 1840778524 165 166 43 1 0.977273 0.104961 15.5349 1.14124e+08 4.90731e+09 143719348 2073267055
416.135 1836480002 9 8 43 2 0.955556 0.104961 15.5349 1.14124e+08 4.90731e+09 143719348 2073267055
419.793 1064431351 30 153 44 2 0.956522 0.104185 15.5455 1.12598e+08 4.95431e+09 143719348 2073267055
426.993 1044421894 40 17 45 2 0.957447 0.102841 15.7333 1.12314e+08 5.05414e+09 143719348 2073267055
445.7 1531465514 139 141 46 2 0.958333 0.101728 15.4348 1.10617e+08 5.08836e+09 143719348 2073267055
464.121 1284197274 40 46 47 2 0.959184 0.102286 15.4681 1.09667e+08 5.15437e+09 143719348 2073267055
469.489 1077347391 87 93 48 2 0.96 0.102286 15.1667 1.07383e+08 5.15437e+09 143719348 2073267055
475.799 1524858588 164 65 49 2 0.960784 0.102286 15.5918 1.0959e+08 5.3699e+09 143719348 2073267055
477.763 1372878840 46 107 50 2 0.961538 0.102286 15.36 1.08736e+08 5.43678e+09 143719348 2073267055
486.241 1628189350 170 173 51 2 0.962264 0.101492 15.2353 1.08416e+08 5.52924e+09 143719348 2073267055
486.577 1473528330 62 29 52 2 0.962963 0.101492 15.2308 1.07945e+08 5.61316e+09 143719348 2073267055
493.478 1677592735 138 163 53 2 0.963636 0.101492 15.4717 1.09173e+08 5.78615e+09 143719348 2073267055
507.273 1557368556 108 114 54 2 0.964286 0.10145 15.2593 1.0887e+08 5.87899e+09 143719348 2073267055
529.413 1287308476 103 4 55 2 0.964912 0.101758 15.7636 1.10752e+08 6.09136e+09 143719348 2073267055
547.867 1417558204 112 171 56 2 0.965517 0.102058 15.5536 1.10319e+08 6.17784e+09 143719348 2073267055
550.259 1859771141 4 38 57 2 0.966102 0.102058 15.5263 1.1191e+08 6.37888e+09 143719348 2073267055
551.657 1816380414 134 69 58 2 0.966667 0.102058 15.3448 1.12829e+08 6.54407e+09 143719348 2073267055
554.867 1386489421 76 117 59 2 0.967213 0.102058 15.1525 1.12371e+08 6.6299e+09 143719348 2073267055
560.217 1353479047 33 5 60 2 0.967742 0.101328 14.9167 1.10498e+08 6.6299e+09 143719348 2073267055
572.589 1463710070 117 185 61 2 0.968254 0.101328 14.7541 1.10545e+08 6.74327e+09 143719348 2073267055
575.332 1522524222 185 86 62 2 0.96875 0.101328 14.9032 1.11303e+08 6.90081e+09 143719348 2073267055
579.153 1606580927 144 103 63 2 0.969231 0.101328 14.9365 1.11254e+08 7.00903e+09 143719348 2073267055
589.71 1847367067 98 32 64 2 0.969697 0.101277 14.7656 1.11559e+08 7.13975e+09 143719348 2073267055
601.146 1815416713 139 133 65 2 0.970149 0.101968 14.8308 1.1197e+08 7.27806e+09 143719348 2073267055
606.052 2246309067 19 109 66 2 0.970588 0.101968 14.7121 1.11377e+08 7.35089e+09 143719348 2073267055
607.648 1736102730 117 88 67 2 0.971014 0.101968 14.5672 1.11985e+08 7.503e+09 143719348 2073267055
626.329 2054004666 30 100 68 2 0.971429 0.101463 14.7353 1.13561e+08 7.72212e+09 143719348 2073267055
657.431 1507159407 64 7 69 2 0.971831 0.100811 14.6377 1.15019e+08 7.93628e+09 143719348 2073267055
659.035 1348026509 49 21 70 2 0.972222 0.100811 14.6429 1.14883e+08 8.04182e+09 143719348 2073267055
664.29 2144671164 187 154 71 2 0.972603 0.101575 14.5775 1.152e+08 8.1792e+09 143719348 2073267055
672.612 1800717909 102 97 72 2 0.972973 0.101575 14.5833 1.15802e+08 8.33777e+09 143719348 2073267055
679.316 1461476482 95 142 73 2 0.973333 0.101575 14.4384 1.15106e+08 8.40271e+09 143719348 2073267055
711.783 2077086594 106 55 74 2 0.973684 0.101726 14.3108 1.1613e+08 8.59361e+09 122226074 2073267055
714.011 1574252181 187 47 75 2 0.974026 0.101726 14.4667 1.1723e+08 8.79229e+09 122226074 2073267055
723.934 964479945 82 119 76 2 0.974359 0.102809 14.4079 1.17715e+08 8.94634e+09 55849777 2073267055
734.468 1595085154 50 130 77 2 0.974684 0.102809 14.2987 1.18419e+08 9.11829e+09 55849777 2073267055
750.717 1435804788 0 187 78 2 0.975 0.102608 14.1538 1.17356e+08 9.15377e+09 55849777 2073267055
757.188 1611950856 87 21 79 2 0.975309 0.102608 14.4051 1.18304e+08 9.34605e+09 55849777 2073267055
759.46 1291520667 153 19 80 2 0.97561 0.102608 14.2625 1.17508e+08 9.40067e+09 55849777 2073267055
782.655 1866137719 67 66 80 2 0.97561 0.102608 14.2625 1.17508e+08 9.40067e+09 55849777 2073267055
784.186 1279108153 11 114 78 5 0.939759 0.103179 14.4514 1.18043e+08 9.55991e+09 55849777 2073267055
789.468 1921656217 32 31 79 5 0.940476 0.103179 14.6483 1.19613e+08 9.80198e+09 55849777 2073267055
811.153 1488716755 11 29 79 6 0.929412 0.10405 14.5514 1.20992e+08 1.00305e+10 55849777 2073267055
812.923 1138414135 82 130 80 6 0.930233 0.10405 14.3946 1.19782e+08 1.00547e+10 55849777 2073267055
817.469 930969289 61 12 81 6 0.931034 0.10405 14.723 1.20251e+08 1.02125e+10 55849777 2073267055
818.921 964864824 173 117 82 6 0.931818 0.10405 14.7874 1.1955e+08 1.02753e+10 55849777 2073267055
824.996 1553356115 77 162 82 7 0.921348 0.105286 14.6192 1.18092e+08 1.02753e+10 55849777 2073267055
831.016 1535855799 149 176 83 7 0.922222 0.105286 14.4792 1.17502e+08 1.03443e+10 55849777 2073267055
857.851 1697488716 67 37 83 7 0.922222 0.105286 14.4792 1.17502e+08 1.03443e+10 55849777 2073267055
860.275 1392022014 142 175 80 11 0.879121 0.107195 14.4857 1.17865e+08 1.04909e+10 55849777 2073267055
884.235 1555342468 71 17 79 13 0.858696 0.107264 14.5809 1.18485e+08 1.06577e+10 55849777 2073267055
903.958 2027800989 112 162 77 16 0.827957 0.108201 14.5084 1.18322e+08 1.07637e+10 8965532 2073267055
911.009 1248616126 175 153 78 16 0.829787 0.108201 14.6814 1.18568e+08 1.09012e+10 8965532 2073267055
928.023 1490160280 22 75 79 16 0.831579 0.107839 14.6601 1.17872e+08 1.09648e+10 8965532 2073267055
934.226 1788387809 76 137 80 16 0.833333 0.107839 14.5518 1.18998e+08 1.11727e+10 8965532 2073267055
944.243 1487124201 141 47 80 17 0.824742 0.107192 14.4949 1.18496e+08 1.12516e+10 8965532 2073267055
961.656 1256308230 78 195 81 17 0.826531 0.110726 14.3777 1.18617e+08 1.13798e+10 8965532 2073267055
973.769 1178019500 171 158 82 17 0.828283 0.110726 14.2755 1.18323e+08 1.14744e+10 8965532 2073267055
1004.65 1924001089 85 14 82 18 0.82 0.111703 14.1136 1.1688e+08 1.14744e+10 8965532 2073267055
1008.07 1476380935 148 186 83 18 0.821782 0.111703 14.2328 1.18067e+08 1.16898e+10 8965532 2073267055
1015.29 388407466 60 29 84 18 0.823529 0.111703 14.1943 1.16922e+08 1.17116e+10 8965532 2073267055
1020.64 1450044715 47 192 85 18 0.825243 0.112861 14.239 1.16561e+08 1.17979e+10 8965532 2073267055
1041.56 1271677739 166 39 86 18 0.826923 0.113355 14.4107 1.1689e+08 1.19428e+10 8965532 2073267055
1054.64 1599300485 88 117 87 18 0.828571 0.113355 14.3715 1.17832e+08 1.21416e+10 8965532 2073267055
1067.22 1101517723 86 73 88 18 0.830189 0.114303 14.4468 1.18055e+08 1.2279e+10 8965532 2073267055
1079.48 1176597312 134 199 89 18 0.831776 0.114303 14.3856 1.1811e+08 1.2402e+10 8965532 2073267055
1079.67 1592203897 139 80 90 18 0.833333 0.114303 14.4035 1.1833e+08 1.25399e+10 8965532 2073267055
1087.11 1365307544 1 95 90 19 0.825688 0.114402 14.4879 1.18012e+08 1.26296e+10 8965532 2073267055
1087.79 1842248067 127 129 91 19 0.827273 0.114402 14.4057 1.18704e+08 1.28106e+10 8965532 2073267055
1094.5 1334498064 77 66 92 19 0.828829 0.114402 14.4447 1.18768e+08 1.29352e+10 8965532 2073267055
1105.96 1847723247 138 28 93 19 0.830357 0.115429 14.569 1.19795e+08 1.31495e+10 8965532 2073267055
1130.8 1128093307 28 120 92 21 0.814159 0.116266 14.4324 1.18616e+08 1.31608e+10 8965532 2073267055
1152.88 1834887278 1 184 93 21 0.815789 0.115782 14.3524 1.19952e+08 1.34037e+10 8965532 2073267055
1154.38 982039445 58 166 94 21 0.817391 0.115782 14.3381 1.19388e+08 1.34706e+10 8965532 2073267055
1199.81 1536302946 24 126 89 27 0.767241 0.114149 14.4803 1.19532e+08 1.36028e+10 8965532 2073267055
1205.72 1139571927 151 133 90 27 0.769231 0.113425 14.5194 1.19532e+08 1.37223e+10 8965532 2073267055
1212.94 1456058535 2 158 91 27 0.771186 0.113425 14.5357 1.19535e+08 1.38421e+10 8965532 2073267055
1218.74 1201810621 102 143 92 27 0.773109 0.113425 14.5842 1.19645e+08 1.39718e+10 8965532 2073267055
1235.17 1148690223 168 46 92 28 0.766667 0.11342 14.5887 1.18852e+08 1.40185e+10 8965532 2073267055
1237.55 1302848774 40 113 93 28 0.768595 0.11342 14.6899 1.18835e+08 1.41358e+10 8965532 2073267055
1239.21 1441411744 166 84 94 28 0.770492 0.11342 14.7783 1.19476e+08 1.43148e+10 8965532 2073267055
1248.8 1217767989 186 117 95 28 0.772358 0.112969 14.6965 1.18568e+08 1.4348e+10 8965532 2073267055
1248.8 1090033035 73 92 96 28 0.774194 0.112969 14.6788 1.18299e+08 1.44408e+10 8965532 2073267055
1261.8 1808898066 26 20 97 28 0.776 0.114355 14.7646 1.18638e+08 1.4592e+10 8965532 2073267055
1267.21 1581367490 133 166 98 28 0.777778 0.114355 15.0221 1.20165e+08 1.48603e+10 8965532 2073267055
1278.62 1531661070 55 143 99 28 0.779528 0.114355 15.2037 1.20852e+08 1.50484e+10 8965532 2073267055
1296.72 1081024530 118 167 100 28 0.78125 0.114133 15.3316 1.21208e+08 1.52049e+10 8965532 2073267055
1314.37 1867980293 69 106 100 29 0.775194 0.114486 15.2783 1.21211e+08 1.53264e+10 8965532 2073267055
1315.22 1911360127 132 64 101 29 0.776923 0.114486 15.1667 1.21114e+08 1.54378e+10 8965532 2073267055
1325.15 988973306 190 23 102 29 0.778626 0.114136 15.2827 1.2081e+08 1.55279e+10 8965532 2073267055
