time amount src dst successes fails acceptRatio averageImbalance averagePathLength averageFee feesPaid minFunds maxFunds
1.41031 1933674187 107 56 1 0 1 0.104842 7 2.81702e+08 2.81702e+08 1000025062 2073267055
7.54721 1762834616 163 74 2 0 1 0.104842 8 2.77887e+08 5.55774e+08 1000025062 2073267055
10.0185 1305390239 104 155 3 0 1 0.104842 6.66667 2.11087e+08 6.33261e+08 1000025062 2073267055
21.3774 1406757384 44 11 4 0 1 0.105225 8.5 2.55171e+08 1.02068e+09 57945774 2073267055
48.664 1351186167 10 95 5 0 1 0.105921 7.6 2.15849e+08 1.07924e+09 57945774 2073267055
55.9915 1250928831 91 103 6 0 1 0.105921 7.5 2.07429e+08 1.24457e+09 57945774 2073267055
56.3433 1576231114 139 115 7 0 1 0.105921 6.85714 1.83544e+08 1.28481e+09 57945774 2073267055
63.8872 1420112170 136 66 8 0 1 0.105926 6.5 1.70558e+08 1.36447e+09 57945774 2073267055
63.9645 1496762208 115 147 9 0 1 0.105926 6.66667 1.75757e+08 1.58181e+09 57945774 2073267055
64.6563 1352744014 135 107 10 0 1 0.105926 7 1.75858e+08 1.75858e+09 57945774 2073267055
76.2645 1444514708 70 122 11 0 1 0.106919 7.18182 1.78744e+08 1.96618e+09 57945774 2073267055
102.92 1432808184 121 25 12 0 1 0.106923 7.41667 1.85782e+08 2.22939e+09 57945774 2073267055
110.405 1351475049 162 179 13 0 1 0.10719 7.30769 1.79214e+08 2.32978e+09 57945774 2073267055
121.016 1026956732 48 152 14 0 1 0.107075 7.42857 1.73605e+08 2.43046e+09 57945774 2073267055
133.095 2094542244 23 41 15 0 1 0.106984 7.4 1.76872e+08 2.65307e+09 57945774 2073267055
147.458 1327033956 22 109 16 0 1 0.107623 7.3125 1.71964e+08 2.75143e+09 57945774 2073267055
147.945 1420781742 16 137 17 0 1 0.107623 7.17647 1.69396e+08 2.87973e+09 57945774 2073267055
151.923 1123026770 75 167 18 0 1 0.107068 7.61111 1.75513e+08 3.15924e+09 57945774 2073267055
166.046 1273579456 71 153 19 0 1 0.10722 7.52632 1.7059e+08 3.2412e+09 57945774 2073267055
170.592 1744176286 99 149 20 0 1 0.107504 8.1 1.96785e+08 3.9357e+09 57945774 2073267055
211.077 1464220943 46 44 18 3 0.857143 0.107923 8.20556 1.97879e+08 4.15217e+09 57945774 2073267055
225.075 1514019362 112 130 18 4 0.818182 0.108592 7.8608 1.8879e+08 4.18645e+09 57945774 2073267055
225.829 1108384620 130 33 19 4 0.826087 0.108592 7.97339 1.85921e+08 4.32074e+09 57945774 2073267055
247.432 1310986168 148 31 19 5 0.791667 0.108155 7.659 1.76826e+08 4.33385e+09 57945774 2073267055
253.166 1621175034 96 124 20 5 0.8 0.109029 7.72605 1.78853e+08 4.55121e+09 57945774 2073267055
259.662 1543703121 182 3 21 5 0.807692 0.109106 7.7391 1.78486e+08 4.72236e+09 57945774 2073267055
262.877 1469708905 88 103 22 5 0.814815 0.109106 7.66005 1.78381e+08 4.89854e+09 57945774 2073267055
264.698 1515058593 154 13 23 5 0.821429 0.109106 7.50092 1.73107e+08 4.95561e+09 57945774 2073267055
287.492 1283682963 74 187 24 5 0.827586 0.109851 7.64671 1.74491e+08 5.16195e+09 57945774 2073267055
288.117 1660136919 192 50 24 6 0.8 0.109851 7.64671 1.74491e+08 5.16195e+09 57945774 2073267055
295.139 1418785321 84 65 25 6 0.806452 0.109762 7.62084 1.7325e+08 5.30539e+09 57945774 2073267055
298.982 1256046039 142 115 26 6 0.8125 0.109762 7.75081 1.73865e+08 5.49465e+09 57945774 2073267055
305.794 1739671930 77 187 27 6 0.818182 0.110498 7.79708 1.78042e+08 5.78128e+09 57945774 2073267055
306.745 1809794883 121 72 28 6 0.823529 0.110498 7.62575 1.7414e+08 5.85006e+09 57945774 2073267055
307.511 1026714639 16 84 29 6 0.828571 0.110498 7.43176 1.68545e+08 5.86197e+09 57945774 2073267055
312.358 1418078216 94 57 30 6 0.833333 0.110715 7.58404 1.73542e+08 6.18041e+09 57945774 2073267055
336.871 1543327982 133 172 30 7 0.810811 0.111318 7.46457 1.70077e+08 6.25e+09 57945774 2073267055
343.116 1052156616 48 142 31 7 0.815789 0.11145 7.41732 1.67355e+08 6.3357e+09 57945774 2073267055
343.629 1269833398 46 159 32 7 0.820513 0.11145 7.46678 1.67063e+08 6.49371e+09 57945774 2073267055
358.335 829710919 98 0 33 7 0.825 0.111823 7.48294 1.63894e+08 6.5562e+09 57945774 2073267055
359.675 1187731663 192 26 34 7 0.829268 0.111823 7.61579 1.64464e+08 6.73948e+09 57945774 2073267055
371.337 1664211911 159 189 34 8 0.809524 0.110967 7.53886 1.63098e+08 6.85749e+09 57945774 2073267055
381.267 1009708222 58 101 35 8 0.813953 0.110593 7.52346 1.60693e+08 6.9364e+09 57945774 2073267055
394.192 1840778524 165 166 36 8 0.818182 0.109958 7.48115 1.61428e+08 7.12357e+09 57945774 2073267055
416.135 1836480002 9 8 36 9 0.8 0.109958 7.48115 1.61428e+08 7.12357e+09 57945774 2073267055
419.793 1064431351 30 153 37 9 0.804348 0.11005 7.38706 1.58365e+08 7.17168e+09 57945774 2073267055
426.993 1044421894 40 17 38 9 0.808511 0.110325 7.37687 1.5747e+08 7.29603e+09 57945774 2073267055
445.7 1531465514 139 141 39 9 0.8125 0.110564 7.23901 1.5431e+08 7.33026e+09 57945774 2073267055
464.121 1284197274 40 46 40 9 0.816327 0.110388 7.25803 1.53618e+08 7.45688e+09 57945774 2073267055
469.489 1077347391 87 93 41 9 0.82 0.110294 7.1054 1.49871e+08 7.45688e+09 57945774 2073267055
475.799 1524858588 164 65 42 9 0.823529 0.110454 7.15051 1.50461e+08 7.63151e+09 57945774 2073267055
477.763 1372878840 46 107 43 9 0.826923 0.110454 7.40282 1.56507e+08 8.04196e+09 57945774 2073267055
486.241 1628189350 170 173 44 9 0.830189 0.111045 7.32548 1.55575e+08 8.15744e+09 57945774 2073267055
486.577 1473528330 62 29 45 9 0.833333 0.111045 7.42936 1.57213e+08 8.38676e+09 57945774 2073267055
493.478 1677592735 138 163 46 9 0.836364 0.11028 7.4635 1.591e+08 8.63078e+09 57945774 2073267055
